crop_id,crop_name,season,optimal_sowing_start,optimal_sowing_end,late_cutoff_date,harvest_month,duration_days,water_requirement_mm,soil_type,recommended_varieties_pune,agronomic_source
SOYBEAN,Soybean,Kharif,06-15,07-15,07-25,Sep-Oct,100,450-550,Medium to deep black soil,JS-335 / JS-9305 / Phule Kalyani (DS-228) / Phule Agrani,MPKV Rahuri / ICAR-CRIDA Pune Contingency Plan
BAJRA,Bajra,Kharif,06-20,07-15,07-30,Sep-Oct,85,350-400,Light to medium well-drained,Shraddha (RHRBH-8609) / Saburi (RHRBH-8924) / Phule Mahashakti,MPKV Rahuri / ICAR-CRIDA
MAIZE_KH,Maize,Kharif,06-15,07-15,07-30,Sep-Oct,105,500-600,Medium to heavy well-drained,Ganga-11 / Deccan-103 / Rajarshi / Phule Maharshi,MPKV Rahuri
MAIZE_RABI,Maize,Rabi,10-15,11-15,11-30,Feb-Mar,115,450-550,Medium to heavy well-drained,Rajarshi / African Tall (Fodder) / Pioneer 30V92,MPKV Rahuri
TUR,Tur,Kharif,06-15,07-10,07-25,Dec-Jan,170,600-650,Medium to deep black soil,Vipula / BDN-711 / Rajeshwari / Phule Rajeshwari,MPKV Rahuri / ICAR-CRIDA
MOONG,Moong,Kharif,06-15,07-10,07-20,Aug-Sep,70,350-400,Medium black fertile soil,Vaibhav / BPMR-145 / Phule Chetan (PKV Green-2),MPKV Rahuri
URAD,Urad,Kharif,06-15,07-10,07-20,Aug-Sep,75,350-400,Medium to heavy black soil,TPU-4 / TAU-1 / Phule Udid-1,MPKV Rahuri
GROUNDNUT_KH,Groundnut,Kharif,06-15,07-15,07-30,Oct-Nov,115,500-600,Sandy loam to light black soil,JL-24 (Phule Pragati) / JL-501 / Phule Unnati / TAG-24,MPKV Rahuri
GROUNDNUT_SUMMER,Groundnut,Summer,01-15,02-15,02-28,May,120,600-700,Light well-drained sandy loam,TAG-24 / TG-26 / Phule RHRG-6083 / Phule Unnati,MPKV Rahuri
SUNFLOWER_KH,Sunflower,Kharif,07-01,07-31,08-10,Oct,90,400-500,Medium to deep black soil,Modern / SS-56 / Phule Bhaskar / KBSH-44,MPKV Rahuri
SUNFLOWER_RABI,Sunflower,Rabi,10-01,11-15,11-30,Jan-Feb,95,350-450,Medium to deep moisture retentive soil,Phule Bhaskar / KBSH-1 / MSFH-17,MPKV Rahuri
COTTON,Cotton,Kharif,06-15,07-10,07-25,Nov-Jan,160,650-750,Deep black cotton soil,Bt Hybrids / Phule-688 / Phule Dhanwantary,MPKV Rahuri / ICAR-CICR
JOWAR,Jowar,Rabi,09-15,10-15,10-30,Jan-Feb,120,400-500,Medium to deep black soil (Vertisols),M-35-1 (Maldandi) / Phule Yashodha / Phule Anuradha / Phule Revati / Phule Vasudha,MPKV Rahuri / ICAR-IIMR
GRAM,Gram,Rabi,10-01,11-15,11-30,Jan-Mar,105,350-450,Medium to deep moisture retentive black soil,Vijay / Digvijay / Phule Vikram / Vishal / Kripa (Kabuli),MPKV Rahuri
WHEAT,Wheat,Rabi,11-01,11-30,12-15,Feb-Mar,115,450-550,Deep fertile clay-loam to black soil,HD-2189 / NIAW-301 (Trimbak) / Phule Samadhan / Netravati / MACS-6222,MPKV Rahuri / ICAR-IIWBR
ONION_KH,Onion,Kharif,06-15,07-15,07-30,Oct-Nov,110,500-600,Well drained rich loam to light black,Baswant-780 / Phule Samarth / N-53 / Agrifound Dark Red,ICAR-DOGR Rajgurunagar Pune / NHB
ONION_LATE_KH,Onion,Late_Kharif,08-15,09-15,09-30,Jan-Feb,120,550-650,Well drained fertile loam,Phule Samarth / Bhima Red / Bhima Super,ICAR-DOGR Rajgurunagar Pune
ONION_RABI,Onion,Rabi,10-15,11-30,12-15,Apr-May,130,600-700,Deep sandy loam to clay loam,Bhima Kiran / Bhima Shakti / N-2-4-1 / Phule Safed,ICAR-DOGR Rajgurunagar Pune / NHB
TOMATO_KH,Tomato,Kharif,06-15,07-15,07-30,Sep-Nov,120,600-700,Well drained fertile sandy loam,Abhinav / Shivam / Phule Raja / Rohini / Vaishali,MPKV Rahuri / IIHR
TOMATO_RABI,Tomato,Rabi,10-15,11-15,11-30,Jan-Apr,130,600-750,Well drained rich organic loam,Abhinav / US-440 / Arka Rakshak / Phule Raja,MPKV Rahuri / IIHR
SUGARCANE_ADSALI,Sugarcane,Adsali,07-15,08-15,08-30,Nov-Feb,510,2200-2500,Deep fertile well-drained heavy black soil,CoM-0265 (Phule-265) / Co-86032 (Nira) / VSI-434,Vasantdada Sugar Institute (VSI) Pune / MPKV
SUGARCANE_PRE_SEASONAL,Sugarcane,Pre_Seasonal,10-15,11-15,11-30,Dec-Mar,435,1800-2000,Deep fertile heavy black soil,Co-86032 / CoM-0265 / MS-10001,VSI Pune / MPKV
SUGARCANE_SURU,Sugarcane,Suru,01-15,02-28,03-15,Dec-Feb,365,1500-1700,Deep fertile well-drained loam,Co-86032 / CoC-671 / Co-94012 (Phule Savitri),VSI Pune / MPKV
